"ticker";"2018";"2019";"2020";"2021";"2022";"2023"
"KMX";510660000000;414320000000;315350000000;221050000000;19620000000;13220000000
"CCL";534310000000;434760000000;323910000000;222850000000;110470000000;20540000000
"CARR";0;0;332690000000;247000000000;134490000000;48530000000
"CTLT";54540000000;48240000000;317140000000;222910000000;18100000000;9040000000
"CAT";573130000000;481230000000;398880000000;2111830000000;1124660000000;147800000000
"CBOE";510910000000;413270000000;310060000000;213900000000;113310000000;15860000000
"CBRE";513480000000;420510000000;321030000000;236310000000;124310000000;26650000000
"CDW";511970000000;420420000000;318840000000;227790000000;124170000000;28570000000
"CE";511520000000;414710000000;315180000000;218290000000;111080000000;14030000000
"CNC";523770000000;426090000000;334800000000;248080000000;146430000000;33170000000
"CNP";514140000000;413690000000;311780000000;217550000000;118870000000;17450000000
"CDAY";54800000000;49800000000;315740000000;215800000000;19850000000;11370000000
"CERN";517000000000;422810000000;324060000000;227130000000;127910000000;27910000000
"CF";59690000000;410310000000;38280000000;215180000000;116710000000;15280000000
"CRL";55450000000;47470000000;312420000000;219010000000;111080000000;10740000000
"SCHW";555330000000;461140000000;399660000000;2158990000000;1155420000000;110170000000
"CHTR";564210000000;4101850000000;3132220000000;2112620000000;152780000000;63200000000
"CVX";5207000000000;4226820000000;3162560000000;2226210000000;1347060000000;313410000000
"CMG";511950000000;423230000000;338800000000;249180000000;138460000000;53480000000
"CHRW";511540000000;410540000000;312760000000;213990000000;110770000000;10280000000
"CB";559310000000;470350000000;369470000000;283260000000;191560000000;83490000000
"CHD";516230000000;417260000000;321670000000;225620000000;119650000000;23680000000
"CI";572340000000;476170000000;375200000000;276100000000;1101300000000;81880000000
"XEC";45900000000;35360000000;23820000000;18960000000;8960000000;0
"CINF";512600000000;417120000000;314050000000;218350000000;116090000000;16700000000
"CTAS";517560000000;427910000000;337100000000;245970000000;145880000000;51400000000
"CSCO";5194810000000;4203450000000;3189090000000;2267260000000;1195700000000;235700000000
"C";5123300000000;4168890000000;3128370000000;2119820000000;187600000000;80080000000
"CFG";513850000000;417580000000;315270000000;219940000000;119380000000;13520000000
"CTXS";513460000000;414420000000;316010000000;211790000000;113180000000;13180000000
"CLX";519740000000;419190000000;325450000000;221420000000;117310000000;19220000000
