,Ticker,Security
293,MCHP,Microchip Technology
294,MU,Micron Technology
295,MSFT,Microsoft
296,MAA,Mid-America Apartment Communities
297,MHK,Mohawk Industries
298,TAP,Molson Coors Beverage Company
299,MDLZ,Mondelez International
300,MNST,Monster Beverage
301,MCO,Moody's Corporation
302,MS,Morgan Stanley
303,MOS,Mosaic Company (The)
304,MSI,Motorola Solutions
305,MSCI,MSCI
306,NDAQ,"Nasdaq, Inc."
307,NTAP,NetApp
308,NFLX,Netflix
309,NWL,Newell Brands
310,NEM,Newmont
311,NWSA,News Corp (Class A)
312,NWS,News Corp (Class B)
313,NEE,NextEra Energy
314,NKE,"Nike, Inc."
315,NI,NiSource
316,NSC,Norfolk Southern Railway
317,NTRS,Northern Trust
318,NOC,Northrop Grumman
319,NCLH,Norwegian Cruise Line Holdings
320,NRG,NRG Energy
321,NUE,Nucor
322,NVDA,Nvidia
323,NVR,"NVR, Inc."
324,NXPI,NXP Semiconductors
325,ORLY,O'Reilly Auto Parts
326,OXY,Occidental Petroleum
327,ODFL,Old Dominion
328,OMC,Omnicom Group
329,OKE,ONEOK
330,ORCL,Oracle Corporation
332,PCAR,Paccar
333,PKG,Packaging Corporation of America
334,PARA,Paramount Global
335,PH,Parker Hannifin
336,PAYX,Paychex
338,PYPL,PayPal
339,PNR,Pentair
340,PEP,PepsiCo
341,PFE,Pfizer
342,PCG,PG&E Corporation
343,PM,Philip Morris International
344,PSX,Phillips 66
345,PNW,Pinnacle West
346,PXD,Pioneer Natural Resources
347,PNC,PNC Financial Services
349,PPG,PPG Industries
350,PPL,PPL Corporation
351,PFG,Principal Financial Group
352,PG,Procter & Gamble
353,PGR,Progressive Corporation
354,PLD,Prologis
355,PRU,Prudential Financial
356,PEG,Public Service Enterprise Group
357,PSA,Public Storage
358,PHM,PulteGroup
359,QRVO,Qorvo
360,PWR,Quanta Services
361,QCOM,Qualcomm
362,DGX,Quest Diagnostics
363,RL,Ralph Lauren Corporation
364,RJF,Raymond James
365,RTX,RTX Corporation
366,O,Realty Income
367,REG,Regency Centers
368,REGN,Regeneron
369,RF,Regions Financial Corporation
370,RSG,Republic Services
371,RMD,ResMed
372,RVTY,Revvity
373,RHI,Robert Half
374,ROK,Rockwell Automation
375,ROL,"Rollins, Inc."
376,ROP,Roper Technologies
377,ROST,Ross Stores
378,RCL,Royal Caribbean Group
379,SPGI,S&P Global
380,CRM,Salesforce
381,SBAC,SBA Communications
382,SLB,Schlumberger
383,STX,Seagate Technology
384,SEE,Sealed Air
385,SRE,Sempra Energy
386,NOW,ServiceNow
387,SHW,Sherwin-Williams
388,SPG,Simon Property Group
389,SWKS,Skyworks Solutions
390,SJM,J.M. Smucker Company (The)
391,SNA,Snap-on
392,SO,Southern Company
393,LUV,Southwest Airlines
394,SWK,Stanley Black & Decker
395,SBUX,Starbucks
396,STT,State Street Corporation
397,STE,Steris
398,SYK,Stryker Corporation
399,SYF,Synchrony Financial
400,SNPS,Synopsys
401,SYY,Sysco
402,TMUS,T-Mobile US
403,TROW,T. Rowe Price
404,TTWO,Take-Two Interactive
405,TPR,"Tapestry, Inc."
406,TGT,Target Corporation
407,TEL,TE Connectivity
408,TDY,Teledyne Technologies
409,TFX,Teleflex
411,TSLA,"Tesla, Inc."
412,TXN,Texas Instruments
413,TXT,Textron
414,TMO,Thermo Fisher Scientific
415,TJX,TJX Companies
416,TSCO,Tractor Supply
417,TT,Trane Technologies
418,TDG,TransDigm Group
419,TRV,Travelers Companies (The)
420,TRMB,Trimble Inc.
421,TFC,Truist
423,TSN,Tyson Foods
424,USB,U.S. Bank
425,UDR,"UDR, Inc."
426,ULTA,Ulta Beauty
427,UNP,Union Pacific Corporation
428,UAL,United Airlines Holdings
429,UPS,United Parcel Service
430,URI,United Rentals
431,UNH,UnitedHealth Group
432,UHS,Universal Health Services
433,VLO,Valero Energy
434,VTR,Ventas
435,VRSN,Verisign
436,VRSK,Verisk
437,VZ,Verizon
438,VRTX,Vertex Pharmaceuticals
439,VFC,VF Corporation
440,VTRS,Viatris
441,V,Visa Inc.
442,VMC,Vulcan Materials Company
443,WAB,Wabtec
444,WBA,Walgreens Boots Alliance
445,WMT,Walmart
446,WBD,Warner Bros. Discovery
447,WM,Waste Management
448,WAT,Waters Corporation
449,WEC,WEC Energy Group
450,WFC,Wells Fargo
451,WELL,Welltower
453,WDC,Western Digital
454,WRK,WestRock
455,WY,Weyerhaeuser
456,WHR,Whirlpool Corporation
457,WMB,Williams Companies
458,WTW,Willis Towers Watson
459,GWW,W. W. Grainger
460,WYNN,Wynn Resorts
461,XEL,Xcel Energy
462,XYL,Xylem Inc.
463,YUM,Yum! Brands
464,ZBRA,Zebra Technologies
465,ZBH,Zimmer Biomet
466,ZION,Zions Bancorporation
467,ZTS,Zoetis
468,AAP,Advance Auto Parts
469,DISH,Dish Network
470,FRC,First Republic Bank
471,LUMN,Lumen Technologies
472,SIVB,SVB Financial Group
473,VNO,Vornado Realty Trust
474,ABMD,Abiomed
475,FBHS,Fortune Brands Home & Security
476,MBC,MasterBrand
477,TWTR,Twitter
478,NLSN,Nielsen Holdings
479,CTXS,Citrix Systems
480,DRE,Duke Realty
481,PVH,PVH
482,PENN,Penn Entertainment
483,UA,Under Armour
484,UAA,Under Armour
485,IPGP,IPG Photonics
486,CERN,Cerner
487,PBCT,People's United Financial
488,INFO,IHS Markit
489,XLNX,Xilinx
490,GPS,Gap Inc.
491,LEG,Leggett & Platt
492,HBI,Hanesbrands
493,WU,Western Union
494,KSU,Kansas City Southern
495,PRGO,Perrigo
496,UNM,Unum
497,NOV,Nov
498,MXIM,Maxim Integrated
499,ALXN,Alexion Pharmaceuticals
500,HFC,HollyFrontier
504,FLIR,FLIR Systems
505,VAR,Varian Medical Systems
506,FLS,Flowserve
507,SLG,SL Green Realty
508,XRX,Xerox
510,FTI,TechnipFMC
511,CXO,Concho Resources
512,TIF,Tiffany & Co
2020,AIV,Apartment Investment & Management
2020,NBL,Noble Energy
2020,-----,-----
2020,ETFC,E-Trade
2020,HRB,H&R Block
2020,COTY,Coty
2020,KSS,Kohl's
2020,ADS,Alliance Data Systems
2020,HOG,Harley-Davidson
2020,JWN,Nordstrom
2020,HP,Helmerich & Payne
2020,CPRI,Capri Holdings
2020,AGN,Allergan
2020,M,Macy's
2020,RTN,Raytheon Company
2020,-----,-----
2020,-----,-----
2020,ARNC,Arconic
2020,XEC,Cimarex Energy
2020,WCG,WellCare
