,Ticker,Security
0,MMM,3M
1,AOS,A. O. Smith
2,ABT,Abbott
3,ABBV,AbbVie
4,ACN,Accenture
5,ATVI,Activision Blizzard
6,ADM,ADM
7,ADBE,Adobe Inc.
8,ADP,ADP
9,AES,AES Corporation
10,AFL,Aflac
11,A,Agilent Technologies
12,APD,Air Products and Chemicals
13,AKAM,Akamai
14,ALK,Alaska Air Group
15,ALB,Albemarle Corporation
16,ARE,Alexandria Real Estate Equities
17,ALGN,Align Technology
18,ALLE,Allegion
19,LNT,Alliant Energy
20,ALL,Allstate
21,GOOGL,Alphabet Inc. (Class A)
22,GOOG,Alphabet Inc. (Class C)
23,MO,Altria
24,AMZN,Amazon
25,AMCR,Amcor
26,AMD,AMD
27,AEE,Ameren
28,AAL,American Airlines Group
29,AEP,American Electric Power
30,AXP,American Express
31,AIG,American International Group
32,AMT,American Tower
33,AWK,American Water Works
34,AMP,Ameriprise Financial
35,AME,Ametek
36,AMGN,Amgen
37,APH,Amphenol
38,ADI,Analog Devices
39,ANSS,Ansys
40,AON,Aon
41,APA,APA Corporation
42,AAPL,Apple Inc.
43,AMAT,Applied Materials
44,APTV,Aptiv
45,ANET,Arista Networks
46,AJG,Arthur J. Gallagher & Co.
47,AIZ,Assurant
48,T,AT&T
49,ATO,Atmos Energy
50,ADSK,Autodesk
51,AZO,AutoZone
52,AVB,AvalonBay Communities
53,AVY,Avery Dennison
54,BKR,Baker Hughes
55,BALL,Ball Corporation
56,BAC,Bank of America
57,BBWI,"Bath & Body Works, Inc."
58,BAX,Baxter International
59,BDX,Becton Dickinson
60,WRB,Berkley
61,BRK.B,Berkshire Hathaway
62,BBY,Best Buy
63,BIO,Bio-Rad
64,BIIB,Biogen
65,BLK,BlackRock
66,BK,BNY Mellon
67,BA,Boeing
68,BKNG,Booking Holdings
69,BWA,BorgWarner
70,BXP,Boston Properties
71,BSX,Boston Scientific
72,BMY,Bristol Myers Squibb
73,AVGO,Broadcom Inc.
74,BR,Broadridge Financial Solutions
75,BF.B,Brown–Forman
76,CHRW,C.H. Robinson
77,CDNS,Cadence Design Systems
78,CPB,Campbell Soup Company
79,COF,Capital One
80,CAH,Cardinal Health
81,KMX,CarMax
82,CCL,Carnival
83,CARR,Carrier Global
85,CAT,Caterpillar Inc.
86,CBOE,Cboe Global Markets
87,CBRE,CBRE Group
88,CDW,CDW
89,CE,Celanese
90,CNC,Centene Corporation
91,CNP,CenterPoint Energy
92,CF,CF Industries
93,SCHW,Charles Schwab Corporation
94,CHTR,Charter Communications
95,CVX,Chevron Corporation
96,CMG,Chipotle Mexican Grill
97,CB,Chubb Limited
98,CHD,Church & Dwight
99,CI,Cigna
100,CINF,Cincinnati Financial
101,CTAS,Cintas
102,CSCO,Cisco
103,C,Citigroup
104,CFG,Citizens Financial Group
105,CLX,Clorox
106,CME,CME Group
107,CMS,CMS Energy
108,KO,Coca-Cola Company (The)
109,CTSH,Cognizant
110,CL,Colgate-Palmolive
111,CMCSA,Comcast
112,CMA,Comerica
113,CAG,Conagra Brands
114,COP,ConocoPhillips
115,ED,Consolidated Edison
116,STZ,Constellation Brands
117,COO,CooperCompanies
118,CPRT,Copart
119,GLW,Corning Inc.
120,CTVA,Corteva
121,COST,Costco
122,CTRA,Coterra
123,CCI,Crown Castle
124,CSX,CSX
125,CMI,Cummins
126,CVS,CVS Health
127,DHI,D.R. Horton
128,DHR,Danaher Corporation
129,DRI,Darden Restaurants
130,DVA,DaVita Inc.
131,DE,John Deere
132,DAL,Delta Air Lines
133,XRAY,Dentsply Sirona
134,DVN,Devon Energy
136,FANG,Diamondback Energy
137,DLR,Digital Realty
138,DFS,Discover Financial
139,DIS,Disney
140,DG,Dollar General
141,DLTR,Dollar Tree
142,D,Dominion Energy
143,DPZ,Domino's
144,DOV,Dover Corporation
145,DOW,Dow Inc.
146,DTE,DTE Energy
147,DUK,Duke Energy
148,DD,DuPont
149,DXC,DXC Technology
150,EMN,Eastman Chemical Company
151,ETN,Eaton Corporation
152,EBAY,eBay
153,ECL,Ecolab
154,EIX,Edison International
155,EW,Edwards Lifesciences
156,EA,Electronic Arts
157,ELV,Elevance Health
158,LLY,Eli Lilly and Company
159,EMR,Emerson Electric
160,ENPH,Enphase
161,ETR,Entergy
162,EOG,EOG Resources
163,EFX,Equifax
164,EQIX,Equinix
165,EQR,Equity Residential
166,ESS,Essex Property Trust
167,EL,Estée Lauder Companies (The)
169,EG,Everest Re
170,EVRG,Evergy
171,ES,Eversource
172,EXC,Exelon
173,EXPE,Expedia Group
174,EXPD,Expeditors International
175,EXR,Extra Space Storage
176,XOM,ExxonMobil
177,FFIV,"F5, Inc."
178,FAST,Fastenal
179,FRT,Federal Realty
180,FDX,FedEx
181,FITB,Fifth Third Bank
182,FE,FirstEnergy
183,FIS,FIS
184,FI,Fiserv
185,FLT,Fleetcor
186,FMC,FMC Corporation
187,F,Ford Motor Company
188,FTNT,Fortinet
189,FTV,Fortive
190,FOXA,Fox Corporation (Class A)
191,FOX,Fox Corporation (Class B)
192,BEN,Franklin Templeton
193,FCX,Freeport-McMoRan
194,GRMN,Garmin
195,IT,Gartner
196,GEN,Gen Digital
197,GNRC,Generac
198,GD,General Dynamics
199,GE,General Electric
200,GIS,General Mills
201,GM,General Motors
202,GPC,Genuine Parts Company
203,GILD,Gilead Sciences
204,GL,Globe Life
205,GPN,Global Payments
206,GS,Goldman Sachs
207,HAL,Halliburton
208,HIG,Hartford (The)
209,HAS,Hasbro
210,HCA,HCA Healthcare
211,PEAK,Healthpeak
212,HSIC,Henry Schein
213,HSY,Hershey's
214,HES,Hess Corporation
215,HPE,Hewlett Packard Enterprise
216,HLT,Hilton Worldwide
217,HOLX,Hologic
218,HD,Home Depot (The)
219,HON,Honeywell
220,HRL,Hormel Foods
221,HST,Host Hotels & Resorts
223,HPQ,HP Inc.
224,HUM,Humana
225,HBAN,Huntington Bancshares
226,HII,Huntington Ingalls Industries
227,IBM,IBM
228,IEX,IDEX Corporation
229,IDXX,Idexx Laboratories
230,ITW,Illinois Tool Works
231,ILMN,Illumina
232,INCY,Incyte
234,INTC,Intel
235,ICE,Intercontinental Exchange
236,IFF,International Flavors & Fragrances
237,IP,International Paper
238,IPG,Interpublic Group of Companies (The)
239,INTU,Intuit
240,ISRG,Intuitive Surgical
241,IVZ,Invesco
242,IQV,IQVIA
243,IRM,Iron Mountain
244,JBHT,J.B. Hunt
245,JKHY,Jack Henry & Associates
246,J,Jacobs Solutions
247,JNJ,Johnson & Johnson
248,JCI,Johnson Controls
249,JPM,JPMorgan Chase
250,JNPR,Juniper Networks
251,K,Kellogg's
252,KEY,KeyCorp
253,KEYS,Keysight
254,KMB,Kimberly-Clark
255,KIM,Kimco Realty
256,KMI,Kinder Morgan
257,KLAC,KLA Corporation
258,KHC,Kraft Heinz
259,KR,Kroger
260,LHX,L3Harris
261,LH,LabCorp
262,LRCX,Lam Research
263,LW,Lamb Weston
264,LVS,Las Vegas Sands
265,LDOS,Leidos
266,LEN,Lennar
267,LNC,Lincoln Financial
268,LIN,Linde plc
269,LYV,Live Nation Entertainment
270,LKQ,LKQ Corporation
271,LMT,Lockheed Martin
272,L,Loews Corporation
273,LOW,Lowe's
274,LYB,LyondellBasell
275,MTB,M&T Bank
276,MRO,Marathon Oil
277,MPC,Marathon Petroleum
278,MKTX,MarketAxess
279,MAR,Marriott International
280,MMC,Marsh McLennan
281,MLM,Martin Marietta Materials
282,MAS,Masco
283,MA,Mastercard
284,MKC,McCormick & Company
285,MCD,McDonald's
286,MCK,McKesson
287,MDT,Medtronic
288,MRK,Merck & Co.
289,META,Meta Platforms
290,MET,MetLife
291,MTD,Mettler Toledo
292,MGM,MGM Resorts
