"tickers";"capex2018";"capex2019";"capex2020";"capex2021";"capex2022";"net_assets_from_acquisitions2018";"net_assets_from_acquisitions2019";"net_assets_from_acquisitions2020";"net_assets_from_acquisitions2021";"net_assets_from_acquisitions2022";"sale_of_fixed_assets_businesses2018";"sale_of_fixed_assets_businesses2019";"sale_of_fixed_assets_businesses2020";"sale_of_fixed_assets_businesses2021";"sale_of_fixed_assets_businesses2022"
"HBI";"(86.29M)";"(101.08M)";"(53.74M)";"(69.27M)";"(215.12M)";"(334.92M)";"(25.23M)";"-";"-";"-";"2.56M";"4.88M";"671K";"2.81M";"157K"
"WU";"(339M)";"(127.7M)";"(156.8M)";"(214.6M)";"(208.2M)";"-";"-";"-";"-";"-";"-";"711.7M";"49.4M";"-";"887.2M"
"PRGO";"(138.2M)";"(286.8M)";"(205.6M)";"(222.7M)";"(96.4M)";"-";"(747.7M)";"(168.5M)";"-";"(2.01B)";"5.2M";"182.5M";"187.8M";"1.49B";"58.7M"
"UNM";"(144.1M)";"(150.9M)";"(119.1M)";"(110.3M)";"(102.2M)";"(145.4M)";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"NOV";"(244M)";"(233M)";"(226M)";"(201M)";"(214M)";"(280M)";"(180M)";"(14M)";"(52M)";"(49M)";"-";"-";"-";"-";"-"
"FLS";"(83.99M)";"(75.72M)";"(57.41M)";"(54.94M)";"(76.29M)";"(3.66M)";"-";"-";"-";"-";"6.19M";"42.33M";"15.71M";"2.66M";"4.42M"
"SLG";"(254.46M)";"(252.99M)";"(458.14M)";"(302.49M)";"(300.77M)";"-";"(25.85M)";"(1.54M)";"-";"(29.82M)";"5.46M";"10.24M";"12.48M";"9.81M";"112.66M"
"XRX";"(90M)";"(65M)";"(74M)";"(68M)";"(57M)";"-";"(42M)";"(203M)";"(53M)";"(93M)";"59M";"21M";"30M";"44M";"87M"
"VNT";"(42.4M)";"(38M)";"(35.7M)";"(47.8M)";"(60M)";"-";"-";"-";"(957.7M)";"(277.5M)";"600K";"100K";"3.5M";"-";"400K"
"FTI";"(368.1M)";"(454.4M)";"(256.1M)";"(191.7M)";"(157.9M)";"(104.9M)";"-";"-";"(63.9M)";"-";"19.5M";"23.8M";"45.5M";"104.6M";"30.2M"
"CXO";"(2.51B)";"(2.46B)";"(2.53B)";"(2.72B)";"(3.24B)";"-";"-";"-";"-";"-";"104K";"331.97M";"832M";"361M";"1.26B"
"HRB";"(95.49M)";"(81.69M)";"(52.79M)";"(61.96M)";"(69.7M)";"(43.64M)";"(450.24M)";"(15.58M)";"(35.92M)";"(48.25M)";"-";"-";"-";"-";"-"
"COTY";"(426.6M)";"(267.4M)";"(173.9M)";"(174.1M)";"(222.8M)";"(40.8M)";"(592.2M)";"-";"-";"-";"13.4M";"26.2M";"2.41B";"213.2M";"104.6M"
"KSS";"(578M)";"(855M)";"(334M)";"(605M)";"(826M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"HOG";"(213.52M)";"(181.44M)";"(131.05M)";"(120.18M)";"(151.67M)";"-";"(7M)";"-";"-";"-";"-";"-";"-";"-";"-"
"JWN";"(654M)";"(935M)";"(385M)";"(506M)";"(473M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"HP";"(466.58M)";"(458.4M)";"(140.8M)";"(82.15M)";"(250.89M)";"(47.89M)";"(16.16M)";"-";"-";"-";"44.38M";"50.82M";"93.46M";"130.04M";"62.3M"
"CPRI";"(184M)";"(223M)";"(111M)";"(131M)";"(226M)";"(1.88B)";"(13M)";"(13M)";"-";"-";"-";"-";"-";"-";"-"
"M";"(932M)";"(1.16B)";"(466M)";"(597M)";"(1.3B)";"-";"-";"-";"-";"-";"481M";"185M";"113M";"164M";"137M"
"ARNC";"(317M)";"(201M)";"(163M)";"(184M)";"(245M)";"-";"-";"-";"(1M)";"-";"307M";"31M";"125M";"-";"30M"
