"tickers";"capex2018";"capex2019";"capex2020";"capex2021";"capex2022";"net_assets_from_acquisitions2018";"net_assets_from_acquisitions2019";"net_assets_from_acquisitions2020";"net_assets_from_acquisitions2021";"net_assets_from_acquisitions2022";"sale_of_fixed_assets_businesses2018";"sale_of_fixed_assets_businesses2019";"sale_of_fixed_assets_businesses2020";"sale_of_fixed_assets_businesses2021";"sale_of_fixed_assets_businesses2022"
"CEG";"(2.24B)";"(1.85B)";"(1.75B)";"(1.33B)";"(1.69B)";"(154M)";"(41M)";"-";"-";"-";"90M";"52M";"46M";"878M";"52M"
"CF";"(422M)";"(404M)";"(309M)";"(524M)";"(462M)";"(388M)";"-";"-";"-";"-";"26M";"70M";"2M";"1M";"1M"
"CFG";"(511M)";"(393M)";"(118M)";"(1.17B)";"(226M)";"(533M)";"(129M)";"(3M)";"(165M)";"(255M)";"-";"31M";"-";"-";"-"
"CHD";"(60.4M)";"(73.7M)";"(98.9M)";"(118.8M)";"(178.8M)";"(49.8M)";"(475M)";"(512.7M)";"(556M)";"(546.8M)";"-";"-";"-";"-";"-"
"CHRW";"(63.87M)";"(70.47M)";"(54.01M)";"(70.92M)";"(128.5M)";"(5.32M)";"(59.2M)";"(223.23M)";"(14.75M)";"-";"-";"-";"-";"-";"63.58M"
"CHTR";"(9.13B)";"(7.2B)";"(7.88B)";"(7.64B)";"(9.38B)";"(656M)";"(885M)";"(1.46B)";"(2.23B)";"(1.6B)";"-";"-";"-";"-";"-"
"CI";"(528M)";"(1.05B)";"(1.09B)";"(1.15B)";"(1.3B)";"(24.46B)";"(153M)";"(139M)";"(1.89B)";"-";"-";"-";"5.59B";"-";"4.84B"
"CINF";"(20M)";"(24M)";"(20M)";"(15M)";"(15M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"CL";"(436M)";"(335M)";"(410M)";"(567M)";"(696M)";"(728M)";"(1.71B)";"(452M)";"-";"(809M)";"1M";"1M";"-";"-";"47M"
"CLX";"(206M)";"(254M)";"(331M)";"(251M)";"(228M)";"-";"-";"(85M)";"-";"-";"-";"-";"-";"-";"-"
"CMA";"(90M)";"(86M)";"(79M)";"(70M)";"(82M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"CMCSA";"(11.85B)";"(12.48B)";"(12.09B)";"(12.06B)";"(13.77B)";"(38.22B)";"(370M)";"(233M)";"(1.37B)";"(12M)";"141M";"886M";"2.34B";"684M";"1.99B"
"CME";"(116.7M)";"(245.6M)";"(197.5M)";"(127.2M)";"(89.7M)";"(1.8B)";"-";"(5.5M)";"(4.5M)";"(3.1M)";"20.7M";"89.6M";"26.3M";"140.7M";"11.1M"
"CMG";"(287.39M)";"(333.91M)";"(373.35M)";"(442.48M)";"(479.16M)";"-";"-";"-";"-";"-";"-";"-";"-";"4.04M";"-"
"CMI";"(784M)";"(775M)";"(575M)";"(786M)";"(916M)";"(70M)";"(237M)";"-";"-";"(3.19B)";"20M";"23M";"-";"20M";"-"
"CMS";"(2.07B)";"(2.1B)";"(2.31B)";"(2.08B)";"(2.37B)";"-";"-";"-";"-";"-";"-";"97M";"89M";"1M";"2M"
"CNC";"(675M)";"(730M)";"(869M)";"(910M)";"(1B)";"(2.13B)";"(36M)";"(4.05B)";"(534M)";"(1.46B)";"-";"21M";"466M";"68M";"2.48B"
"CNP";"(1.65B)";"(2.51B)";"(2.6B)";"(3.16B)";"(4.42B)";"-";"(5.99B)";"-";"-";"-";"-";"5M";"1.22B";"22M";"2.08B"
"COF";"(874M)";"(887M)";"(710M)";"(698M)";"(934M)";"(600M)";"(8.39B)";"(7M)";"(669M)";"(1.18B)";"-";"-";"-";"-";"-"
"COO";"(193.6M)";"(292.1M)";"(310.4M)";"(214.4M)";"(242M)";"-";"-";"-";"-";"(1.64B)";"-";"-";"-";"-";"52.1M"
"COP";"(6.75B)";"(6.64B)";"(4.72B)";"(5.32B)";"(10.16B)";"-";"-";"-";"(8.29B)";"(60M)";"1.08B";"3.01B";"1.32B";"1.65B";"3.47B"
"COST";"(2.97B)";"(3B)";"(2.81B)";"(3.59B)";"(3.89B)";"-";"-";"(1.16B)";"-";"(842M)";"-";"-";"-";"-";"-"
"CPB";"(407M)";"(384M)";"(299M)";"(275M)";"(242M)";"(6.83B)";"(47M)";"(11M)";"(2M)";"(1M)";"10M";"570M";"2.55B";"111M";"2M"
"CPRT";"(287.91M)";"(373.88M)";"(591.97M)";"(463M)";"(337.45M)";"(8.79M)";"(745K)";"(11.7M)";"(5M)";"(106.6M)";"8.22M";"18.36M";"2.47M";"2.53M";"4.33M"
"CPT";"(373.73M)";"(424.76M)";"(434.75M)";"(432.75M)";"(453.84M)";"-";"-";"-";"-";"(1.07B)";"-";"-";"-";"-";"-"
"CRL";"(140.05M)";"(140.51M)";"(166.56M)";"(228.77M)";"(324.73M)";"(824.87M)";"(515.7M)";"(418.63M)";"(1.29B)";"(283.39M)";"-";"-";"-";"122.69M";"163.28M"
"CRM";"(595M)";"(643M)";"(710M)";"(717M)";"(798M)";"(5.12B)";"(369M)";"(1.28B)";"(14.88B)";"(439M)";"-";"-";"-";"-";"-"
"CSCO";"(909M)";"(770M)";"(692M)";"(477M)";"(849M)";"(2.18B)";"(327M)";"(7.04B)";"(373M)";"(301M)";"22M";"179M";"28M";"91M";"3M"
"CSGP";"(29.63M)";"(46.2M)";"(48.35M)";"(188.98M)";"(93.74M)";"(418.37M)";"(437.56M)";"(426.08M)";"(192.97M)";"(6.27M)";"-";"-";"-";"612K";"30.1M"
"CSX";"(1.75B)";"(1.66B)";"(1.63B)";"(1.79B)";"(2.13B)";"-";"-";"-";"(541M)";"(227M)";"319M";"254M";"56M";"529M";"246M"
"CTAS";"(276.72M)";"(230.29M)";"(143.47M)";"(240.67M)";"(331.11M)";"(9.81M)";"(53.72M)";"(10.04M)";"(164.23M)";"(46.36M)";"3.2M";"13.3M";"31.71M";"15.35M";"-"
"CTLT";"(176.5M)";"(218.1M)";"(465.8M)";"(686M)";"(660M)";"(748M)";"(1.29B)";"(379.7M)";"(147M)";"(1.2B)";"5.2M";"500K";"20.8M";"287M";"-"
"CTRA";"(894.47M)";"(788.37M)";"(575.85M)";"(728M)";"(1.71B)";"-";"-";"-";"-";"-";"678.35M";"2.6M";"828K";"8M";"36M"
"CTSH";"(377M)";"(392M)";"(398M)";"(279M)";"(332M)";"(1.11B)";"(617M)";"(1.12B)";"(970M)";"(367M)";"-";"-";"-";"-";"28M"
"CTVA";"(1.5B)";"(1.16B)";"(475M)";"(573M)";"(605M)";"-";"(10M)";"(60M)";"-";"-";"78M";"270M";"83M";"75M";"73M"
"CVS";"(2.04B)";"(2.46B)";"(2.44B)";"(2.52B)";"(2.73B)";"(42.23B)";"(444M)";"(866M)";"(146M)";"(1.39B)";"832M";"5M";"941M";"-";"-"
"CVX";"(13.73B)";"(13.96B)";"(8.92B)";"(7.6B)";"(10.66B)";"-";"-";"-";"-";"(2.86B)";"2.39B";"2.95B";"3.34B";"1.79B";"2.64B"
"CZR";"(147.42M)";"(170.77M)";"(199M)";"(832M)";"(963M)";"(1.11B)";"-";"(6.31B)";"(1.59B)";"-";"1M";"536.13M";"366M";"726M";"39M"
"D";"(4.41B)";"(5.32B)";"(6.33B)";"(6.06B)";"(7.76B)";"-";"-";"-";"-";"-";"-";"-";"-";"495M";"727M"
"DAL";"(5.17B)";"(4.94B)";"(1.9B)";"(3.25B)";"(6.37B)";"-";"-";"-";"-";"-";"-";"-";"465M";"-";"-"
"DD";"(3.86B)";"(2.47B)";"(1.19B)";"(891M)";"(743M)";"(20M)";"(180M)";"(70M)";"(2.35B)";"5M";"202M";"299M";"1.03B";"797M";"10.95B"
"DE";"(2.95B)";"(3.45B)";"(2.66B)";"(2.58B)";"(3.79B)";"(5.25B)";"-";"(66M)";"(244M)";"(498M)";"1.64B";"1.74B";"1.78B";"2.09B";"2.09B"
"DFS";"(254M)";"(284M)";"(261M)";"(194M)";"(236M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9M"
"DG";"(734.38M)";"(784.84M)";"(1.03B)";"(1.07B)";"(1.56B)";"-";"-";"-";"-";"-";"2.78M";"2.36M";"3.05M";"4.9M";"5.24M"
"DGX";"(383M)";"(400M)";"(418M)";"(403M)";"(404M)";"(421M)";"(58M)";"(330M)";"(331M)";"(144M)";"18M";"91M";"3M";"3M";"-"
"DHI";"(138.3M)";"(224.1M)";"(286.8M)";"(267.4M)";"(148.2M)";"(159.2M)";"(315.8M)";"(9.7M)";"(24.5M)";"(271.5M)";"292.9M";"143.8M";"129.8M";"37.6M";"-"
"DHR";"(583.5M)";"(635.5M)";"(791M)";"(1.29B)";"(1.15B)";"(2.17B)";"(331.3M)";"(20.97B)";"(10.96B)";"(637M)";"6.3M";"12.8M";"828M";"39M";"9M"
"DIS";"(4.47B)";"(4.88B)";"(4.02B)";"(3.58B)";"(4.94B)";"(1.58B)";"(11.33B)";"-";"(350M)";"-";"399M";"737M";"94M";"91M";"-"
"DISH";"(393.94M)";"(593.24M)";"(1.46B)";"(1.31B)";"(9.93B)";"-";"-";"(1.31B)";"-";"-";"-";"-";"-";"-";"-"
"DLR";"(1.37B)";"(1.5B)";"(2.18B)";"(2.52B)";"(2.64B)";"(2.09B)";"(97.08M)";"(1.03B)";"(192.02M)";"(1.93B)";"182.12M";"63.17M";"223.37M";"124.13M";"44.31M"
"DLTR";"(817.1M)";"(1.04B)";"(898.8M)";"(1.02B)";"(1.25B)";"-";"-";"-";"-";"-";"400K";"-";"9.1M";"-";"-"
"DOV";"(170.99M)";"(186.8M)";"(165.69M)";"(171.47M)";"(220.96M)";"(68.56M)";"(215.69M)";"(335.79M)";"(1.11B)";"(312.86M)";"9.85M";"28.39M";"22.61M";"282.05M";"6.06M"
"DOW";"(2.12B)";"(1.97B)";"(1.26B)";"(2.2B)";"(1.83B)";"(20M)";"(297M)";"(130M)";"(129M)";"(228M)";"47M";"84M";"929M";"119M";"84M"
"DPZ";"(119.89M)";"(88.99M)";"(88.77M)";"(94.17M)";"(94.05M)";"-";"-";"-";"-";"-";"8.37M";"12.26M";"174K";"16K";"41.09M"
"DRI";"(477.9M)";"(484.5M)";"(270.3M)";"(402.5M)";"(594.3M)";"-";"(55.8M)";"-";"-";"-";"13.2M";"5.8M";"5.4M";"10.1M";"25.4M"
"DTE";"(2.71B)";"(3B)";"(3.86B)";"(3.77B)";"(3.38B)";"-";"(2.77B)";"(126M)";"-";"-";"53M";"38M";"49M";"47M";"27M"
"DUK";"(9.39B)";"(11.12B)";"(9.91B)";"(9.72B)";"(11.37B)";"-";"-";"-";"-";"-";"41M";"843M";"426M";"1.58B";"1.38B"
"DVA";"(987.14M)";"(766.55M)";"(674.54M)";"(641.47M)";"(603.43M)";"(211.24M)";"(168.88M)";"(189.84M)";"(207.15M)";"(78.08M)";"202.53M";"3.93B";"93.11M";"96.1M";"136.05M"
"DVN";"(2.17B)";"(1.94B)";"(1.16B)";"(2.01B)";"(5.13B)";"-";"-";"(14M)";"(24M)";"-";"500M";"506M";"55M";"427M";"39M"
"DXC";"(952M)";"(866M)";"(776M)";"(758M)";"(678M)";"(430M)";"(2B)";"-";"-";"(147M)";"357M";"73M";"5.3B";"633M";"171M"
"DXCM";"(67.1M)";"(180M)";"(199M)";"(389.2M)";"(364.8M)";"(11.3M)";"-";"-";"(30.2M)";"(3.9M)";"-";"-";"-";"-";"-"
"EA";"(119M)";"(140M)";"(124M)";"(188M)";"(207M)";"(58M)";"-";"(1.24B)";"(3.39B)";"-";"-";"-";"-";"-";"-"
"EBAY";"(651M)";"(523M)";"(463M)";"(444M)";"(449M)";"(302M)";"-";"-";"-";"(208M)";"-";"-";"-";"-";"-"
"ECL";"(847.1M)";"(731.3M)";"(489M)";"(643M)";"(712.8M)";"(229.8M)";"(391.4M)";"(487M)";"(3.92B)";"(7.2M)";"39.2M";"14.3M";"121.5M";"12.2M";"2.2M"
"ED";"(3.5B)";"(3.49B)";"(3.91B)";"(3.95B)";"(4.17B)";"(1.49B)";"-";"-";"-";"-";"5M";"192M";"-";"812M";"-"
"EFX";"(321.9M)";"(399.6M)";"(421.3M)";"(469M)";"(624.5M)";"(169.2M)";"(272.9M)";"(70.4M)";"(2.95B)";"(434.2M)";"5.6M";"-";"-";"6.4M";"98.8M"
"EG";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"EIX";"(4.51B)";"(4.88B)";"(5.48B)";"(5.51B)";"(5.78B)";"-";"-";"-";"-";"-";"78M";"-";"158M";"-";"-"
"EL";"(744M)";"(623M)";"(637M)";"(1.04B)";"(3.29B)";"-";"(1.05B)";"(1.07B)";"(18M)";"-";"2M";"-";"-";"-";"-"
"ELV";"(1.21B)";"(1.08B)";"(1.02B)";"(1.09B)";"(1.15B)";"(1.76B)";"-";"(1.98B)";"(3.48B)";"(649M)";"-";"-";"-";"-";"-"
"EMN";"(528M)";"(425M)";"(383M)";"(578M)";"(624M)";"(3M)";"(48M)";"(1M)";"(114M)";"(1M)";"5M";"-";"-";"667M";"998M"
"EMR";"(617M)";"(594M)";"(538M)";"(581M)";"(531M)";"(2.2B)";"(469M)";"(126M)";"(1.61B)";"(5.7B)";"201M";"14M";"-";"34M";"601M"
"ENPH";"(4.15M)";"(14.79M)";"(20.56M)";"(52.51M)";"(46.44M)";"(15M)";"-";"-";"(235.65M)";"(62.16M)";"-";"-";"-";"-";"-"
"EOG";"(6.08B)";"(6.42B)";"(3.46B)";"(3.85B)";"(5B)";"-";"-";"-";"-";"-";"227.45M";"140.29M";"191.93M";"231M";"349M"
"EPAM";"(37.57M)";"(99.31M)";"(68.79M)";"(111.5M)";"(81.63M)";"(74.27M)";"(39.32M)";"(18.89M)";"(316.71M)";"(12.9M)";"-";"-";"-";"-";"-"
"EQIX";"(2.1B)";"(2.08B)";"(2.28B)";"(2.75B)";"(2.28B)";"(829.69M)";"(34.14M)";"(1.18B)";"(158.5M)";"(964.01M)";"-";"-";"-";"208.59M";"249.91M"
"EQR";"(193.01M)";"(183.38M)";"(156.08M)";"(152.72M)";"(225.14M)";"(13K)";"-";"-";"-";"(32.18M)";"126K";"7.34M";"430K";"1.39M";"604K"
"EQT";"(3B)";"(1.6B)";"(1.04B)";"(1.06B)";"(1.4B)";"-";"-";"(691.94M)";"(1.03B)";"(55.35M)";"583.38M";"-";"133.58M";"9.95M";"23.57M"
"ES";"(2.52B)";"(2.91B)";"(2.94B)";"(3.18B)";"(3.44B)";"-";"-";"(1.11B)";"-";"-";"193.92M";"-";"110.54M";"-";"-"
"ESS";"(81.68M)";"(101.69M)";"(90.09M)";"(121.2M)";"(163.19M)";"(1.48M)";"(36.64M)";"(3.99M)";"(12.92M)";"(11.93M)";"-";"-";"-";"-";"125K"
"ETN";"(565M)";"(587M)";"(389M)";"(575M)";"(598M)";"-";"(1.22B)";"(200M)";"(4.5B)";"(610M)";"-";"-";"1.41B";"3.13B";"194M"
"ETR";"(4.27B)";"(4.63B)";"(5.16B)";"(6.42B)";"(5.4B)";"-";"-";"-";"-";"-";"24.9M";"28.93M";"-";"17.42M";"-"
"ETSY";"(56.05M)";"(17.24M)";"(7.99M)";"(30.11M)";"(37.2M)";"-";"(270.41M)";"-";"(1.7B)";"-";"-";"-";"-";"-";"-"
"EVRG";"(1.07B)";"(1.21B)";"(1.56B)";"(1.97B)";"(2.17B)";"-";"-";"-";"-";"-";"1.15B";"-";"-";"-";"-"
"EW";"(241.7M)";"(278.4M)";"(407.3M)";"(329.8M)";"(264.8M)";"-";"(135.2M)";"(10M)";"(13.1M)";"-";"-";"-";"-";"-";"-"
"EXC";"(7.59B)";"(7.25B)";"(8.05B)";"(7.98B)";"(7.15B)";"(154M)";"(41M)";"-";"-";"-";"91M";"53M";"46M";"877M";"16M"
"EXPD";"(47.47M)";"(47.02M)";"(47.54M)";"(36.25M)";"(86.82M)";"(688K)";"-";"-";"-";"-";"215K";"579K";"-";"-";"-"
"EXPE";"(878M)";"(1.16B)";"(797M)";"(673M)";"(662M)";"(53M)";"80M";"-";"(60M)";"-";"-";"-";"-";"-";"4M"
"EXR";"(4.3M)";"(7.76M)";"(7.09M)";"(3.66M)";"(22.83M)";"(2.56M)";"-";"(1M)";"(788K)";"(161.92M)";"122K";"173K";"66K";"-";"-"
"F";"(7.79B)";"(7.63B)";"(5.74B)";"(6.23B)";"(6.87B)";"-";"-";"-";"-";"-";"-";"-";"1.34B";"145M";"449M"
"FANG";"(1.67B)";"(2.93B)";"(1.86B)";"(1.49B)";"(1.94B)";"(1.81B)";"(776M)";"(185M)";"(812M)";"(1.57B)";"-";"-";"-";"-";"-"
"FAST";"(176.3M)";"(246.4M)";"(168.1M)";"(156.6M)";"(173.8M)";"(3.7M)";"-";"(125M)";"-";"-";"9.5M";"6.6M";"10.6M";"8.4M";"11.4M"
"FCX";"(1.97B)";"(2.65B)";"(1.96B)";"(2.12B)";"(3.47B)";"(3.5B)";"-";"-";"(33M)";"-";"457M";"617M";"706M";"182M";"189M"
"FDS";"(33.52M)";"(59.37M)";"(77.64M)";"(61.33M)";"(51.16M)";"(15M)";"-";"-";"(58.06M)";"(1.98B)";"-";"-";"-";"-";"-"
"FDX";"(5.49B)";"(5.87B)";"(5.88B)";"(6.76B)";"(6.17B)";"(66M)";"-";"(228M)";"-";"-";"83M";"22M";"102M";"94M";"84M"
"FE";"(2.68B)";"(2.67B)";"(2.66B)";"(2.45B)";"(2.76B)";"-";"-";"-";"-";"(21M)";"425M";"47M";"2M";"155M";"2.36B"
"FFIV";"(53.47M)";"(103.54M)";"(59.94M)";"(30.65M)";"(33.62M)";"-";"(611.55M)";"(955.57M)";"(411.32M)";"(67.91M)";"1M";"-";"-";"-";"-"
"FI";"(360M)";"(721M)";"(900M)";"(1.16B)";"(1.48B)";"(712M)";"(16.01B)";"(139M)";"(848M)";"(988M)";"419M";"51M";"579M";"-";"246M"
"FIS";"(622M)";"(828M)";"(1.13B)";"(1.25B)";"(1.39B)";"(16M)";"(6.63B)";"(469M)";"(767M)";"-";"-";"49M";"-";"370M";"50M"
"FITB";"(216M)";"(330M)";"(402M)";"(690M)";"(685M)";"(43M)";"1.21B";"(4M)";"(728M)";"(917M)";"57M";"90M";"33M";"47M";"68M"
"FLT";"(81.39M)";"(75.17M)";"(78.43M)";"(111.53M)";"(151.43M)";"(20.84M)";"(448.28M)";"(80.79M)";"(602.12M)";"(216.92M)";"98.74M";"-";"-";"-";"-"
"FMC";"(83M)";"(93.9M)";"(67.2M)";"(100.1M)";"(142.3M)";"-";"-";"(73M)";"(5.2M)";"(198.2M)";"107.6M";"-";"-";"-";"50.5M"
"FOX";"(235M)";"(359M)";"(484M)";"(307M)";"(357M)";"-";"(1.06B)";"(118M)";"(243M)";"-";"-";"-";"93M";"83M";"-"
"FOXA";"(235M)";"(359M)";"(484M)";"(307M)";"(357M)";"-";"(1.06B)";"(118M)";"(243M)";"-";"-";"-";"93M";"83M";"-"
"FRT";"(368.26M)";"(409.91M)";"(501.94M)";"(440.51M)";"(416.7M)";"-";"-";"-";"-";"(4.19M)";"2.84M";"404K";"-";"133K";"-"
"FSLR";"(739.84M)";"(668.72M)";"(416.64M)";"(540.29M)";"(903.61M)";"-";"-";"-";"-";"-";"-";"-";"-";"300.5M";"442.3M"
"FTNT";"(53M)";"(92.2M)";"(125.9M)";"(295.9M)";"(281.2M)";"(21.7M)";"(34.6M)";"(40.2M)";"(74.9M)";"(30.8M)";"-";"-";"-";"-";"-"
"FTV";"(112.3M)";"(74.5M)";"(75.7M)";"(50M)";"(95.8M)";"(2.82B)";"(3.94B)";"(40.4M)";"(2.57B)";"(12.8M)";"-";"-";"5.3M";"4.5M";"9.6M"
"GD";"(690M)";"(987M)";"(967M)";"(887M)";"(1.11B)";"(10.1B)";"(19M)";"(203M)";"-";"-";"562M";"14M";"171M";"-";"-"
"GE";"(6.95B)";"(6.1B)";"(1.73B)";"(1.36B)";"(1.48B)";"(1M)";"(68M)";"(85M)";"(1.55B)";"(30M)";"12.55B";"17.65B";"21.18B";"26.67B";"4.94B"
"GEN";"(207M)";"(89M)";"(6M)";"(6M)";"(6M)";"(180M)";"-";"(344M)";"(39M)";"(6.55B)";"26M";"10.92B";"218M";"355M";"-"
"GILD";"(924M)";"(825M)";"(650M)";"(579M)";"(728M)";"-";"-";"(25.74B)";"(1.4B)";"(1.8B)";"-";"-";"-";"-";"-"
"GIS";"(537.6M)";"(460.8M)";"(530.8M)";"(568.7M)";"(689.5M)";"-";"-";"-";"(1.2B)";"(251.5M)";"96.4M";"1.7M";"5.6M";"77.4M";"634.4M"
"GL";"(45.09M)";"(42.2M)";"(41.76M)";"(38.24M)";"(27.93M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"GLW";"(2.31B)";"(1.99B)";"(1.38B)";"(1.64B)";"(1.6B)";"(842M)";"-";"-";"-";"-";"-";"78M";"41M";"120M";"76M"
"GM";"(25.5B)";"(24B)";"(20.53B)";"(22.11B)";"(21.19B)";"-";"-";"-";"-";"-";"10.86B";"13.3B";"13.4B";"14.39B";"14.23B"
"GNRC";"(47.6M)";"(60.8M)";"(62.13M)";"(109.99M)";"(86.19M)";"(65.44M)";"(112M)";"(64.8M)";"(740.64M)";"(25.44M)";"214K";"95K";"179K";"259K";"2.08M"
"GOOG";"(25.14B)";"(23.55B)";"(22.28B)";"(24.64B)";"(31.49B)";"(1.49B)";"(2.52B)";"(738M)";"(2.62B)";"(6.97B)";"98M";"-";"-";"-";"-"
"GOOGL";"(25.14B)";"(23.55B)";"(22.28B)";"(24.64B)";"(31.49B)";"(1.49B)";"(2.52B)";"(738M)";"(2.62B)";"(6.97B)";"98M";"-";"-";"-";"-"
"GPC";"(232.42M)";"(277.87M)";"(153.5M)";"(266.14M)";"(339.63M)";"-";"-";"-";"-";"-";"14.67M";"459M";"405.44M";"44.29M";"178.61M"
"GPN";"(213.29M)";"(307.87M)";"(436.24M)";"(493.22M)";"(615.65M)";"(1.26B)";"(644.62M)";"(160.8M)";"(1.81B)";"(95.43M)";"-";"-";"119.37M";"69.99M";"-"
"GRMN";"(160.36M)";"(120.41M)";"(187.47M)";"(309.59M)";"(246.19M)";"(29.17M)";"(300.29M)";"(148.65M)";"(20.18M)";"(13.46M)";"1.6M";"529K";"1.98M";"35K";"2.4M"
"GS";"(7.98B)";"(8.44B)";"(6.31B)";"(4.67B)";"(3.75B)";"(162M)";"(803M)";"(231M)";"-";"(2.12B)";"3.71B";"6.63B";"2.97B";"3.93B";"2.71B"
"GWW";"(239M)";"(221M)";"(197M)";"(255M)";"(256M)";"-";"-";"-";"-";"-";"86M";"17M";"20M";"29M";"28M"
"HAL";"(2.03B)";"(1.53B)";"(728M)";"(799M)";"(1.01B)";"(187M)";"(33M)";"-";"-";"-";"218M";"190M";"286M";"257M";"200M"
"HAS";"(140.43M)";"(133.64M)";"(125.75M)";"(132.7M)";"(174.2M)";"(155.45M)";"(8.76M)";"(4.41B)";"-";"(146.3M)";"-";"-";"-";"378.5M";"-"
"HBAN";"(110M)";"(107M)";"(119M)";"(247M)";"(214M)";"(15M)";"(548M)";"-";"(618M)";"-";"-";"-";"-";"466M";"(223M)"
"HCA";"(3.57B)";"(4.16B)";"(2.84B)";"(3.58B)";"(4.4B)";"(1.25B)";"(1.68B)";"(568M)";"(1.11B)";"(224M)";"808M";"61M";"68M";"2.16B";"1.24B"
"HD";"(2.44B)";"(2.68B)";"(2.46B)";"(2.57B)";"(3.12B)";"(21M)";"-";"(7.78B)";"(421M)";"-";"33M";"37M";"-";"-";"-"
"HES";"(2.1B)";"(2.83B)";"(2.2B)";"(1.75B)";"(2.73B)";"(211M)";"(353M)";"(261M)";"(664M)";"(510M)";"607M";"22M";"493M";"427M";"178M"
"HIG";"(122M)";"(105M)";"(114M)";"(133M)";"(175M)";"-";"(1.9B)";"-";"-";"-";"1.12B";"-";"-";"11M";"-"
"HII";"(402M)";"(436M)";"(336M)";"(311M)";"(272M)";"(77M)";"(195M)";"(417M)";"(1.64B)";"-";"13M";"-";"-";"20M";"-"
"HLT";"(159M)";"(205M)";"(92M)";"(79M)";"(102M)";"-";"-";"-";"-";"-";"-";"120M";"-";"6M";"-"
"HOLX";"(105.6M)";"(113.6M)";"(156.4M)";"(162.7M)";"(127.2M)";"(76.5M)";"(110.6M)";"(121.2M)";"(1.17B)";"(158.6M)";"-";"-";"139.3M";"-";"75M"
"HON";"(828M)";"(839M)";"(906M)";"(895M)";"(766M)";"(535M)";"(50M)";"(261M)";"(1.33B)";"(178M)";"15M";"43M";"57M";"816M";"438M"
"HPE";"(2.96B)";"(2.86B)";"(2.38B)";"(2.5B)";"(3.12B)";"(207M)";"(1.53B)";"(866M)";"(505M)";"-";"1.11B";"597M";"703M";"354M";"602M"
"HPQ";"(546M)";"(671M)";"(580M)";"(582M)";"(791M)";"(1.04B)";"(458M)";"-";"(854M)";"(2.76B)";"172M";"-";"3M";"-";"26M"
"HRL";"(389.61M)";"(293.84M)";"(367.5M)";"(232.42M)";"(278.92M)";"(857.67M)";"-";"(270.79M)";"(3.4B)";"-";"9.75M";"517.21M";"1.99M";"2.22M";"1.22M"
"HSIC";"(71.28M)";"(76.22M)";"(48.83M)";"(79.02M)";"(96M)";"(340.88M)";"(658.24M)";"(79.71M)";"(630.8M)";"(196M)";"-";"51.5M";"-";"-";"-"
"HST";"(474M)";"(558M)";"(499M)";"(427M)";"(504M)";"(1.03B)";"(602M)";"-";"(1.46B)";"(301M)";"1.61B";"1.19B";"281M";"729M";"-"
"HSY";"(328.6M)";"(318.19M)";"(441.63M)";"(495.88M)";"(519.48M)";"(1.34B)";"(402.16M)";"-";"(1.6B)";"-";"216.81M";"28.13M";"1.11M";"-";"-"
"HUM";"(612M)";"(736M)";"(964M)";"(1.32B)";"(1.12B)";"(1.16B)";"-";"(709M)";"(4.19B)";"(337M)";"-";"-";"-";"-";"2.7B"
"HWM";"(768M)";"(641M)";"(267M)";"(199M)";"(193M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"58M"
"IBM";"(3.96B)";"(2.91B)";"(3.23B)";"(2.77B)";"(1.97B)";"(139M)";"(32.63B)";"(336M)";"(3.29B)";"(2.35B)";"248M";"1.61B";"691M";"501M";"1.38B"
"ICE";"(280M)";"(305M)";"(410M)";"(452M)";"(482M)";"(1.25B)";"(352M)";"(9.45B)";"(66M)";"(59M)";"-";"-";"-";"-";"-"
"IDXX";"(122.94M)";"(155.22M)";"(107.88M)";"(119.55M)";"(158.84M)";"(22.5M)";"(50.3M)";"(1.5M)";"(174.41M)";"(11.51M)";"-";"-";"-";"-";"-"
"IEX";"(60.09M)";"(50.91M)";"(51.55M)";"(72.7M)";"(68M)";"(20.21M)";"(87.18M)";"(123.13M)";"(577.4M)";"(945.6M)";"363K";"962K";"2.29M";"-";"58.3M"
"IFF";"(173.42M)";"(242.05M)";"(191.79M)";"(397M)";"(506M)";"(4.86B)";"(49.07M)";"(21.57M)";"-";"(157M)";"18.33M";"42.11M";"17.19M";"379M";"1.19B"
"ILMN";"(296M)";"(209M)";"(189M)";"(208M)";"(466M)";"(100M)";"-";"(230M)";"(2.44B)";"(85M)";"92M";"-";"-";"52M";"-"
"INCY";"(73.48M)";"(78.06M)";"(187.38M)";"(181.01M)";"(77.83M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"INTC";"(15.18B)";"(16.21B)";"(14.26B)";"(20.33B)";"(25.05B)";"(190M)";"(1.96B)";"(837M)";"(209M)";"-";"548M";"911M";"317M";"-";"6.58B"
"INTU";"(155M)";"(137M)";"(125M)";"(229M)";"(260M)";"(64M)";"-";"(3.06B)";"(5.68B)";"(33M)";"-";"-";"-";"-";"-"
