,Ticker,Security
296,MRK,Merck & Co.
297,META,Meta Platforms
298,MET,MetLife
299,MTD,Mettler Toledo
300,MGM,MGM Resorts
301,MCHP,Microchip Technology
302,MU,Micron Technology
303,MSFT,Microsoft
304,MAA,Mid-America Apartment Communities
306,MHK,Mohawk Industries
307,TAP,Molson Coors Beverage Company
308,MDLZ,Mondelez International
310,MNST,Monster Beverage
311,MCO,Moody's Corporation
312,MS,Morgan Stanley
313,MOS,Mosaic Company (The)
314,MSI,Motorola Solutions
315,MSCI,MSCI
316,NDAQ,"Nasdaq, Inc."
317,NTAP,NetApp
318,NFLX,Netflix
319,NWL,Newell Brands
320,NEM,Newmont
321,NWSA,News Corp (Class A)
322,NWS,News Corp (Class B)
323,NEE,NextEra Energy
324,NKE,"Nike, Inc."
325,NI,NiSource
326,NSC,Norfolk Southern Railway
327,NTRS,Northern Trust
328,NOC,Northrop Grumman
329,NCLH,Norwegian Cruise Line Holdings
330,NRG,NRG Energy
331,NUE,Nucor
332,NVDA,Nvidia
333,NVR,"NVR, Inc."
334,NXPI,NXP Semiconductors
335,ORLY,O'Reilly Auto Parts
336,OXY,Occidental Petroleum
337,ODFL,Old Dominion
338,OMC,Omnicom Group
339,OKE,ONEOK
340,ORCL,Oracle Corporation
342,OTIS,Otis Worldwide
343,PCAR,Paccar
344,PKG,Packaging Corporation of America
345,PARA,Paramount Global
346,PH,Parker Hannifin
347,PAYX,Paychex
348,PAYC,Paycom
349,PYPL,PayPal
350,PNR,Pentair
351,PEP,PepsiCo
352,PFE,Pfizer
353,PCG,PG&E Corporation
354,PM,Philip Morris International
355,PSX,Phillips 66
356,PNW,Pinnacle West
357,PXD,Pioneer Natural Resources
358,PNC,PNC Financial Services
359,POOL,Pool Corporation
360,PPG,PPG Industries
361,PPL,PPL Corporation
362,PFG,Principal Financial Group
363,PG,Procter & Gamble
364,PGR,Progressive Corporation
365,PLD,Prologis
366,PRU,Prudential Financial
367,PEG,Public Service Enterprise Group
369,PSA,Public Storage
370,PHM,PulteGroup
371,QRVO,Qorvo
372,PWR,Quanta Services
373,QCOM,Qualcomm
374,DGX,Quest Diagnostics
375,RL,Ralph Lauren Corporation
376,RJF,Raymond James
377,RTX,RTX Corporation
378,O,Realty Income
379,REG,Regency Centers
380,REGN,Regeneron
381,RF,Regions Financial Corporation
382,RSG,Republic Services
383,RMD,ResMed
384,RVTY,Revvity
385,RHI,Robert Half
386,ROK,Rockwell Automation
387,ROL,"Rollins, Inc."
388,ROP,Roper Technologies
389,ROST,Ross Stores
390,RCL,Royal Caribbean Group
391,SPGI,S&P Global
392,CRM,Salesforce
393,SBAC,SBA Communications
394,SLB,Schlumberger
395,STX,Seagate Technology
396,SEE,Sealed Air
397,SRE,Sempra Energy
398,NOW,ServiceNow
399,SHW,Sherwin-Williams
400,SPG,Simon Property Group
401,SWKS,Skyworks Solutions
402,SJM,J.M. Smucker Company (The)
403,SNA,Snap-on
405,SO,Southern Company
406,LUV,Southwest Airlines
407,SWK,Stanley Black & Decker
408,SBUX,Starbucks
409,STT,State Street Corporation
410,STE,Steris
411,SYK,Stryker Corporation
412,SYF,Synchrony Financial
413,SNPS,Synopsys
414,SYY,Sysco
415,TMUS,T-Mobile US
416,TROW,T. Rowe Price
417,TTWO,Take-Two Interactive
418,TPR,"Tapestry, Inc."
419,TGT,Target Corporation
420,TEL,TE Connectivity
421,TDY,Teledyne Technologies
422,TFX,Teleflex
423,TER,Teradyne
424,TSLA,"Tesla, Inc."
425,TXN,Texas Instruments
426,TXT,Textron
427,TMO,Thermo Fisher Scientific
428,TJX,TJX Companies
429,TSCO,Tractor Supply
430,TT,Trane Technologies
431,TDG,TransDigm Group
432,TRV,Travelers Companies (The)
433,TRMB,Trimble Inc.
434,TFC,Truist
435,TYL,Tyler Technologies
436,TSN,Tyson Foods
437,USB,U.S. Bank
438,UDR,"UDR, Inc."
439,ULTA,Ulta Beauty
440,UNP,Union Pacific Corporation
441,UAL,United Airlines Holdings
442,UPS,United Parcel Service
443,URI,United Rentals
444,UNH,UnitedHealth Group
445,UHS,Universal Health Services
446,VLO,Valero Energy
447,VTR,Ventas
448,VRSN,Verisign
449,VRSK,Verisk
450,VZ,Verizon
451,VRTX,Vertex Pharmaceuticals
452,VFC,VF Corporation
453,VTRS,Viatris
454,V,Visa Inc.
455,VMC,Vulcan Materials Company
456,WAB,Wabtec
457,WBA,Walgreens Boots Alliance
458,WMT,Walmart
459,WBD,Warner Bros. Discovery
460,WM,Waste Management
461,WAT,Waters Corporation
462,WEC,WEC Energy Group
463,WFC,Wells Fargo
464,WELL,Welltower
465,WST,West Pharmaceutical Services
466,WDC,Western Digital
467,WRK,WestRock
468,WY,Weyerhaeuser
469,WHR,Whirlpool Corporation
470,WMB,Williams Companies
471,WTW,Willis Towers Watson
472,GWW,W. W. Grainger
473,WYNN,Wynn Resorts
474,XEL,Xcel Energy
475,XYL,Xylem Inc.
476,YUM,Yum! Brands
477,ZBRA,Zebra Technologies
478,ZBH,Zimmer Biomet
479,ZION,Zions Bancorporation
480,ZTS,Zoetis
481,AAP,Advance Auto Parts
482,DISH,Dish Network
483,FRC,First Republic Bank
484,LUMN,Lumen Technologies
486,SIVB,SVB Financial Group
487,VNO,Vornado Realty Trust
488,ABMD,Abiomed
489,FBHS,Fortune Brands Home & Security
490,MBC,MasterBrand
493,TWTR,Twitter
494,NLSN,Nielsen Holdings
495,CTXS,Citrix Systems
496,DRE,Duke Realty
497,PVH,PVH
498,PENN,Penn Entertainment
499,UA,Under Armour
500,UAA,Under Armour
501,IPGP,IPG Photonics
502,CERN,Cerner
503,PBCT,People's United Financial
504,INFO,IHS Markit
505,XLNX,Xilinx
506,GPS,Gap Inc.
2021,LEG,Leggett & Platt
2021,HBI,Hanesbrands
2021,WU,Western Union
2021,KSU,Kansas City Southern
2021,PRGO,Perrigo
2021,UNM,Unum
2021,NOV,Nov
2021,MXIM,Maxim Integrated
2021,ALXN,Alexion Pharmaceuticals
2021,HFC,HollyFrontier
2021,-----,-----
2021,FLIR,FLIR Systems
2021,VAR,Varian Medical Systems
2021,FLS,Flowserve
2021,SLG,SL Green Realty
2021,XRX,Xerox
2021,VNT,Vontier
2021,FTI,TechnipFMC
2021,CXO,Concho Resources
2021,TIF,Tiffany & Co
