,Ticker,Security
0,MMM,3M
1,AOS,A. O. Smith
2,ABT,Abbott
3,ABBV,AbbVie
4,ACN,Accenture
5,ATVI,Activision Blizzard
6,ADM,ADM
7,ADBE,Adobe Inc.
8,ADP,ADP
9,AES,AES Corporation
10,AFL,Aflac
11,A,Agilent Technologies
12,APD,Air Products and Chemicals
13,AKAM,Akamai
14,ALK,Alaska Air Group
15,ALB,Albemarle Corporation
16,ARE,Alexandria Real Estate Equities
17,ALGN,Align Technology
18,ALLE,Allegion
19,LNT,Alliant Energy
20,ALL,Allstate
21,GOOGL,Alphabet Inc. (Class A)
22,GOOG,Alphabet Inc. (Class C)
23,MO,Altria
24,AMZN,Amazon
25,AMCR,Amcor
26,AMD,AMD
27,AEE,Ameren
28,AAL,American Airlines Group
29,AEP,American Electric Power
30,AXP,American Express
31,AIG,American International Group
32,AMT,American Tower
33,AWK,American Water Works
34,AMP,Ameriprise Financial
35,AME,Ametek
36,AMGN,Amgen
37,APH,Amphenol
38,ADI,Analog Devices
39,ANSS,Ansys
40,AON,Aon
41,APA,APA Corporation
42,AAPL,Apple Inc.
43,AMAT,Applied Materials
44,APTV,Aptiv
45,ACGL,Arch Capital Group
46,ANET,Arista Networks
47,AJG,Arthur J. Gallagher & Co.
48,AIZ,Assurant
49,T,AT&T
50,ATO,Atmos Energy
51,ADSK,Autodesk
52,AZO,AutoZone
53,AVB,AvalonBay Communities
54,AVY,Avery Dennison
56,BKR,Baker Hughes
57,BALL,Ball Corporation
58,BAC,Bank of America
59,BBWI,"Bath & Body Works, Inc."
60,BAX,Baxter International
61,BDX,Becton Dickinson
62,WRB,Berkley
63,BRK.B,Berkshire Hathaway
64,BBY,Best Buy
65,BIO,Bio-Rad
66,TECH,Bio-Techne
67,BIIB,Biogen
68,BLK,BlackRock
69,BK,BNY Mellon
70,BA,Boeing
71,BKNG,Booking Holdings
72,BWA,BorgWarner
73,BXP,Boston Properties
74,BSX,Boston Scientific
75,BMY,Bristol Myers Squibb
76,AVGO,Broadcom Inc.
77,BR,Broadridge Financial Solutions
78,BRO,Brown & Brown
79,BF.B,Brown–Forman
81,CHRW,C.H. Robinson
82,CDNS,Cadence Design Systems
83,CZR,Caesars Entertainment
84,CPT,Camden Property Trust
85,CPB,Campbell Soup Company
86,COF,Capital One
87,CAH,Cardinal Health
88,KMX,CarMax
89,CCL,Carnival
90,CARR,Carrier Global
91,CTLT,Catalent
92,CAT,Caterpillar Inc.
93,CBOE,Cboe Global Markets
94,CBRE,CBRE Group
95,CDW,CDW
96,CE,Celanese
97,CNC,Centene Corporation
98,CNP,CenterPoint Energy
99,CDAY,Ceridian
100,CF,CF Industries
101,CRL,Charles River Laboratories
102,SCHW,Charles Schwab Corporation
103,CHTR,Charter Communications
104,CVX,Chevron Corporation
105,CMG,Chipotle Mexican Grill
106,CB,Chubb Limited
107,CHD,Church & Dwight
108,CI,Cigna
109,CINF,Cincinnati Financial
110,CTAS,Cintas
111,CSCO,Cisco
112,C,Citigroup
113,CFG,Citizens Financial Group
114,CLX,Clorox
115,CME,CME Group
116,CMS,CMS Energy
117,KO,Coca-Cola Company (The)
118,CTSH,Cognizant
119,CL,Colgate-Palmolive
120,CMCSA,Comcast
121,CMA,Comerica
122,CAG,Conagra Brands
123,COP,ConocoPhillips
124,ED,Consolidated Edison
125,STZ,Constellation Brands
126,CEG,Constellation Energy
127,COO,CooperCompanies
128,CPRT,Copart
129,GLW,Corning Inc.
130,CTVA,Corteva
131,CSGP,CoStar Group
132,COST,Costco
133,CTRA,Coterra
134,CCI,Crown Castle
135,CSX,CSX
136,CMI,Cummins
137,CVS,CVS Health
138,DHI,D.R. Horton
139,DHR,Danaher Corporation
140,DRI,Darden Restaurants
141,DVA,DaVita Inc.
142,DE,John Deere
143,DAL,Delta Air Lines
144,XRAY,Dentsply Sirona
145,DVN,Devon Energy
146,DXCM,Dexcom
147,FANG,Diamondback Energy
148,DLR,Digital Realty
149,DFS,Discover Financial
150,DIS,Disney
151,DG,Dollar General
152,DLTR,Dollar Tree
153,D,Dominion Energy
154,DPZ,Domino's
155,DOV,Dover Corporation
156,DOW,Dow Inc.
157,DTE,DTE Energy
158,DUK,Duke Energy
159,DD,DuPont
160,DXC,DXC Technology
161,EMN,Eastman Chemical Company
162,ETN,Eaton Corporation
163,EBAY,eBay
164,ECL,Ecolab
165,EIX,Edison International
166,EW,Edwards Lifesciences
167,EA,Electronic Arts
168,ELV,Elevance Health
169,LLY,Eli Lilly and Company
170,EMR,Emerson Electric
171,ENPH,Enphase
172,ETR,Entergy
173,EOG,EOG Resources
174,EPAM,EPAM Systems
175,EQT,EQT
176,EFX,Equifax
177,EQIX,Equinix
178,EQR,Equity Residential
179,ESS,Essex Property Trust
180,EL,Estée Lauder Companies (The)
181,ETSY,Etsy
182,EG,Everest Re
183,EVRG,Evergy
184,ES,Eversource
185,EXC,Exelon
186,EXPE,Expedia Group
187,EXPD,Expeditors International
188,EXR,Extra Space Storage
189,XOM,ExxonMobil
190,FFIV,"F5, Inc."
191,FDS,FactSet
193,FAST,Fastenal
194,FRT,Federal Realty
195,FDX,FedEx
196,FITB,Fifth Third Bank
197,FSLR,First Solar
198,FE,FirstEnergy
199,FIS,FIS
200,FI,Fiserv
201,FLT,Fleetcor
202,FMC,FMC Corporation
203,F,Ford Motor Company
204,FTNT,Fortinet
205,FTV,Fortive
206,FOXA,Fox Corporation (Class A)
207,FOX,Fox Corporation (Class B)
208,BEN,Franklin Templeton
209,FCX,Freeport-McMoRan
210,GRMN,Garmin
211,IT,Gartner
213,GEN,Gen Digital
214,GNRC,Generac
215,GD,General Dynamics
216,GE,General Electric
217,GIS,General Mills
218,GM,General Motors
219,GPC,Genuine Parts Company
220,GILD,Gilead Sciences
221,GL,Globe Life
222,GPN,Global Payments
223,GS,Goldman Sachs
224,HAL,Halliburton
225,HIG,Hartford (The)
226,HAS,Hasbro
227,HCA,HCA Healthcare
228,PEAK,Healthpeak
229,HSIC,Henry Schein
230,HSY,Hershey's
231,HES,Hess Corporation
232,HPE,Hewlett Packard Enterprise
233,HLT,Hilton Worldwide
234,HOLX,Hologic
235,HD,Home Depot (The)
236,HON,Honeywell
237,HRL,Hormel Foods
238,HST,Host Hotels & Resorts
239,HWM,Howmet Aerospace
240,HPQ,HP Inc.
241,HUM,Humana
242,HBAN,Huntington Bancshares
243,HII,Huntington Ingalls Industries
244,IBM,IBM
245,IEX,IDEX Corporation
246,IDXX,Idexx Laboratories
247,ITW,Illinois Tool Works
248,ILMN,Illumina
249,INCY,Incyte
250,IR,Ingersoll Rand
252,INTC,Intel
253,ICE,Intercontinental Exchange
254,IFF,International Flavors & Fragrances
255,IP,International Paper
256,IPG,Interpublic Group of Companies (The)
257,INTU,Intuit
258,ISRG,Intuitive Surgical
259,IVZ,Invesco
260,INVH,Invitation Homes
261,IQV,IQVIA
262,IRM,Iron Mountain
263,JBHT,J.B. Hunt
264,JKHY,Jack Henry & Associates
265,J,Jacobs Solutions
266,JNJ,Johnson & Johnson
267,JCI,Johnson Controls
268,JPM,JPMorgan Chase
269,JNPR,Juniper Networks
270,K,Kellogg's
272,KDP,Keurig Dr Pepper
273,KEY,KeyCorp
274,KEYS,Keysight
275,KMB,Kimberly-Clark
276,KIM,Kimco Realty
277,KMI,Kinder Morgan
278,KLAC,KLA Corporation
279,KHC,Kraft Heinz
280,KR,Kroger
281,LHX,L3Harris
282,LH,LabCorp
283,LRCX,Lam Research
284,LW,Lamb Weston
285,LVS,Las Vegas Sands
286,LDOS,Leidos
287,LEN,Lennar
288,LNC,Lincoln Financial
289,LIN,Linde plc
290,LYV,Live Nation Entertainment
291,LKQ,LKQ Corporation
292,LMT,Lockheed Martin
